"","x"
"1",""
"2","1,2,4.46370553442466e-49,LotArea,MSSubClass"
"3","1,6,5.37096537760491e-38,OverallQual,MSSubClass"
"4","1,7,1.90315435141883e-21,OverallCond,MSSubClass"
"5","1,8,5.13040827187418e-72,YearBuilt,MSSubClass"
"6","1,9,7.49976362167031e-32,YearRemodAdd,MSSubClass"
"7","1,12,0.0054090231401478,ExterCond,MSSubClass"
"8","1,15,1.43056344727823e-30,BsmtExposure,MSSubClass"
"9","1,16,2.42168599785978e-20,BsmtFinType1,MSSubClass"
"10","1,17,2.72114999140171e-22,BsmtFinSF1,MSSubClass"
"11","1,19,3.27165102950686e-39,BsmtUnfSF,MSSubClass"
"12","1,20,2.30861371718849e-44,TotalBsmtSF,MSSubClass"
"13","1,21,2.94830654375017e-23,HeatingQC,MSSubClass"
"14","1,23,1.00793342666238e-38,X1stFlrSF,MSSubClass"
"15","1,26,3.47661803031406e-48,GrLivArea,MSSubClass"
"16","1,31,1.70864638727032e-43,BedroomAbvGr,MSSubClass"
"17","1,33,6.68558155769536e-32,KitchenQual,MSSubClass"
"18","1,34,1.62119490932559e-43,TotRmsAbvGrd,MSSubClass"
"19","1,38,2.10177172123558e-43,GarageFinish,MSSubClass"
"20","1,39,1.09265864346285e-29,GarageCars,MSSubClass"
"21","1,40,3.7481257440067e-23,GarageArea,MSSubClass"
"22","1,44,8.45617933595295e-28,WoodDeckSF,MSSubClass"
"23","1,45,3.59956170234351e-17,OpenPorchSF,MSSubClass"
"24","2,2,2.30606293772779e-15,LotArea,MSZoning"
"25","2,3,2.44493402999953e-13,LotShape,MSZoning"
"26","2,6,8.79445399030626e-17,OverallQual,MSZoning"
"27","2,7,3.75499729395357e-17,OverallCond,MSZoning"
"28","2,8,3.9554395393756e-35,YearBuilt,MSZoning"
"29","2,9,7.86551585281497e-29,YearRemodAdd,MSZoning"
"30","2,11,1.04661817938866e-17,ExterQual,MSZoning"
"31","2,14,0.00174044246829463,BsmtCond,MSZoning"
"32","2,15,3.95831576147959e-05,BsmtExposure,MSZoning"
"33","2,16,3.55724882130914e-07,BsmtFinType1,MSZoning"
"34","2,17,1.96579638552814e-10,BsmtFinSF1,MSZoning"
"35","2,20,2.11787892743968e-15,TotalBsmtSF,MSZoning"
"36","2,21,4.9033814733673e-20,HeatingQC,MSZoning"
"37","2,23,2.18931273964968e-16,X1stFlrSF,MSZoning"
"38","2,24,0.000194220975422393,X2ndFlrSF,MSZoning"
"39","2,26,3.56668759840808e-06,GrLivArea,MSZoning"
"40","2,27,4.03200739971983e-06,BsmtFullBath,MSZoning"
"41","2,29,7.47992193947275e-18,FullBath,MSZoning"
